station,window,lead,n,obs,brier_3g,brier_3j,brier_3n,brier_3o
bellever_dartmoor,3,24,120,0.7333333333333333,0.11269031016666667,0.1063773031875,0.10822791293749999,0.11435654743687076
bellever_dartmoor,3,48,120,0.7333333333333333,0.11899992725,0.11486423416666666,0.11650287972916666,0.1244483213051554
bellever_dartmoor,3,72,120,0.7333333333333333,0.13906030808333333,0.13209856581249999,0.1330872289375,0.14187298213902746
bellever_dartmoor,4,24,120,0.625,0.119534671,0.12425377352083335,0.12471510060416667,0.13729424056752365
bellever_dartmoor,4,48,120,0.625,0.12117457783333332,0.13348268489583331,0.1328945494375,0.14802474198190615
bellever_dartmoor,4,72,120,0.625,0.16400335216666664,0.16746863443749999,0.1683004826041667,0.18128329514521072
bellever_dartmoor,6,24,120,0.5,0.11092659499999999,0.12508029139583332,0.12147294972916667,0.13647470021507044
bellever_dartmoor,6,48,120,0.5,0.11096466591666668,0.12471260550000002,0.12230153320833334,0.1349903471550529
bellever_dartmoor,6,72,120,0.5,0.13108268375,0.14260007364583333,0.14024928725000002,0.1557600333802416
bovey_tracey,3,24,116,0.853448275862069,0.0644519225862069,0.058696698383620696,0.058729486314655174,0.058103423979117726
bovey_tracey,3,48,116,0.853448275862069,0.07302428749999999,0.06777457493534483,0.06766951881465517,0.06696169211227707
bovey_tracey,3,72,116,0.853448275862069,0.07699020551724138,0.07655068196120689,0.07561746625000001,0.08057834033200416
bovey_tracey,4,24,116,0.7931034482758621,0.1033675952586207,0.09127485204741378,0.09266414765086209,0.089952503614422
bovey_tracey,4,48,116,0.7931034482758621,0.11667831629310342,0.1072791787284483,0.10831867564655172,0.1049404136740275
bovey_tracey,4,72,116,0.7931034482758621,0.11995857862068969,0.11376882676724137,0.11455538568965518,0.11729419894177051
bovey_tracey,6,24,116,0.5862068965517241,0.10017944948275861,0.11380071290948277,0.11074439629310345,0.12428936168604435
bovey_tracey,6,48,116,0.5862068965517241,0.1123923847413793,0.12933568060344827,0.1250734565086207,0.14035445844366928
bovey_tracey,6,72,116,0.5862068965517241,0.13271322939655172,0.15629691254310343,0.15329319648706896,0.17433986291806355
dartmoor_nr_hexworthy,3,24,120,0.7,0.12782002358333333,0.11940066762500003,0.12040599520833334,0.12497782353397414
dartmoor_nr_hexworthy,3,48,120,0.7,0.14783662533333333,0.13791139485416667,0.13866392837500002,0.1439024949503773
dartmoor_nr_hexworthy,3,72,120,0.7,0.1579505125,0.14673040458333333,0.14705555625000002,0.15224946971111641
dartmoor_nr_hexworthy,4,24,120,0.6,0.12376484424999999,0.12425413941666667,0.12480350131250001,0.13595277229027497
dartmoor_nr_hexworthy,4,48,120,0.6,0.15089898625,0.14849010056249998,0.14870292656249998,0.15919866201479238
dartmoor_nr_hexworthy,4,72,120,0.6,0.1670388779166667,0.1621565441666667,0.1622781828333333,0.1725214651738754
dartmoor_nr_hexworthy,6,24,120,0.4,0.16131499900000001,0.16578312697916667,0.1636988968541667,0.17445916238659911
dartmoor_nr_hexworthy,6,48,120,0.4,0.1630367965,0.17079760679166667,0.1694334685625,0.1814144301286045
dartmoor_nr_hexworthy,6,72,120,0.4,0.18476853925,0.19281935622916668,0.19157726447916665,0.20387488849793403
